dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.368742,10.493466,0.000649,0.064935,3.246753,162.337662,6.282973
0.020000,3.368682,10.493466,0.000710,0.003013,-3.096092,-317.142241,6.283041
0.020000,3.368562,10.493466,0.000830,0.006010,0.149819,162.295539,6.283179
0.020000,3.375926,10.493467,0.008194,0.368222,18.110638,898.040921,0.000199
0.020000,3.386078,10.493470,0.018346,0.507597,6.968726,-557.095593,0.000470
0.020000,3.398771,10.493479,0.031039,0.634621,6.351228,-30.874909,0.000807
0.020000,3.414005,10.493494,0.046273,0.761733,6.355587,0.217978,0.001207
0.020000,3.431784,10.493519,0.064052,0.888945,6.360581,0.249685,0.001667
0.020000,3.452110,10.493559,0.084378,1.016276,6.366535,0.297725,0.002186
0.020000,3.474984,10.493615,0.107252,1.143739,6.373179,0.332176,0.002759
0.020000,3.500411,10.493693,0.132680,1.271356,6.380853,0.383717,0.003384
0.020000,3.528394,10.493797,0.160662,1.399141,6.389257,0.420196,0.004057
0.020000,3.558936,10.493932,0.191205,1.527110,6.398429,0.458573,0.004773
0.020000,3.592041,10.494103,0.224310,1.655281,6.408573,0.507211,0.005528
0.020000,3.627714,10.494314,0.259984,1.783669,6.419408,0.541742,0.006317
0.020000,3.665959,10.494572,0.298230,1.912294,6.431203,0.589773,0.007134
0.020000,3.706781,10.494880,0.339053,2.041165,6.443592,0.619457,0.007974
0.020000,3.750186,10.495245,0.382459,2.170307,6.457060,0.673384,0.008831
0.020000,3.796178,10.495671,0.428454,2.299730,6.471171,0.705539,0.009698
0.020000,3.844765,10.496164,0.477043,2.429452,6.486120,0.747448,0.010569
0.020000,3.895952,10.496727,0.528232,2.559490,6.501901,0.789066,0.011435
0.020000,3.949745,10.497366,0.582030,2.689860,6.518499,0.829906,0.012290
0.020000,4.006152,10.498083,0.638441,2.820576,6.535796,0.864862,0.013126
0.020000,4.065180,10.498882,0.697474,2.951657,6.554059,0.913153,0.013934
0.020000,4.126836,10.499765,0.759137,3.083118,6.573014,0.947717,0.014706
0.020000,4.191128,10.500734,0.823436,3.214974,6.592805,0.989561,0.015432
0.020000,4.258064,10.501790,0.890381,3.347241,6.613354,1.027467,0.016104
0.020000,4.327654,10.502933,0.959980,3.479937,6.634782,1.071367,0.016711
0.020000,4.399905,10.504160,1.032241,3.613076,6.656968,1.109299,0.017243
0.020000,4.474827,10.505470,1.107175,3.746677,6.680032,1.153209,0.017690
0.020000,4.552430,10.506857,1.184790,3.880754,6.703854,1.191129,0.018041
0.020000,4.632723,10.508316,1.265096,4.015325,6.728563,1.235421,0.018285
0.020000,4.715717,10.509840,1.348104,4.150407,6.754096,1.276661,0.018409
0.020000,4.801423,10.511419,1.433825,4.286017,6.780506,1.320499,0.018402
0.020000,4.889851,10.513041,1.522268,4.422173,6.807781,1.363734,0.018251
0.020000,4.981014,10.514692,1.613446,4.558891,6.835946,1.408268,0.017944
0.020000,5.074923,10.516356,1.707370,4.696193,6.865062,1.455788,0.017467
0.020000,5.171591,10.518014,1.804052,4.834094,6.895067,1.500238,0.016807
0.020000,5.271030,10.519644,1.903504,4.972615,6.926066,1.549966,0.015948
0.020000,5.373253,10.521222,2.005740,5.111776,6.958049,1.599165,0.014878
0.020000,5.478275,10.522718,2.110772,5.251597,6.991040,1.649565,0.013580
0.020000,5.586108,10.524101,2.218614,5.392098,7.025040,1.699960,0.012038
0.020000,5.696767,10.525336,2.329280,5.533303,7.060269,1.761483,0.010238
0.020000,5.810267,10.526382,2.442784,5.675231,7.096362,1.804652,0.008163
0.020000,5.926622,10.527196,2.559142,5.817906,7.133781,1.870942,0.005794
0.020000,6.045848,10.527730,2.678369,5.961351,7.172228,1.922352,0.003115
0.020000,6.167959,10.527930,2.800481,6.105593,7.212088,1.992963,0.000108
0.020000,6.292972,10.527736,2.925494,6.250650,7.252861,2.038679,6.279939
0.020000,6.420902,10.527086,3.053425,6.396550,7.295011,2.107493,6.276218
0.020000,6.551763,10.525909,3.184292,6.543320,7.338525,2.175679,6.272111
0.020000,6.685571,10.524128,3.318111,6.690980,7.382993,2.223420,6.267597
0.020000,6.822339,10.521662,3.454902,6.839556,7.428773,2.288997,6.262656
0.020000,6.962083,10.518420,3.594684,6.989076,7.476004,2.361542,6.257265
0.020000,7.104815,10.514305,3.737475,7.139553,7.523874,2.393497,6.251403
0.020000,7.250546,10.509213,3.883295,7.291015,7.573107,2.461671,6.245048
0.020000,7.399288,10.503030,4.032165,7.443479,7.623172,2.503260,6.238176
0.020000,7.551047,10.495637,4.184104,7.596960,7.674050,2.543899,6.230765
0.020000,7.705830,10.486902,4.339133,7.751471,7.725575,2.576220,6.222790
0.020000,7.863640,10.476687,4.497274,7.907017,7.777293,2.585925,6.214229
0.020000,8.024477,10.464843,4.658546,8.063598,7.829022,2.586429,6.205056
0.020000,8.188335,10.451212,4.822970,8.221209,7.880563,2.577051,6.195250
0.020000,8.355205,10.435627,4.990567,8.379833,7.931206,2.532153,6.184786
0.020000,8.525072,10.417909,5.161355,8.539444,7.980568,2.468091,6.173642
0.020000,8.697915,10.397869,5.335356,8.700003,8.027935,2.368354,6.161797
0.020000,8.873702,10.375311,5.512585,8.861456,8.072643,2.235388,6.149229
0.020000,9.052397,10.350025,5.693059,9.023733,8.113835,2.059636,6.135921
0.020000,9.233950,10.321796,5.876794,9.186744,8.150579,1.837213,6.121855
0.020000,9.418303,10.290396,6.063802,9.350379,8.181726,1.557307,6.107017
0.020000,9.605383,10.255592,6.254092,9.514507,8.206406,1.234026,6.091395
