dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.368556,9.618466,0.000649,0.064935,3.246753,162.337662,6.282973
0.020000,3.368556,9.618466,0.003247,0.194805,6.493506,162.337662,6.283041
0.020000,3.368556,9.618466,0.008442,0.324675,6.493506,0.000000,6.283179
0.020000,3.376100,9.618467,0.016234,0.454545,6.493506,0.000000,0.000199
0.020000,3.386490,9.618471,0.026623,0.584416,6.493506,-0.000000,0.000470
0.020000,3.399477,9.618479,0.039610,0.714286,6.493506,0.000000,0.000807
0.020000,3.415061,9.618495,0.055195,0.844156,6.493506,0.000000,0.001207
0.020000,3.433243,9.618521,0.073377,0.974026,6.493506,0.000000,0.001667
0.020000,3.454022,9.618561,0.094156,1.103896,6.493506,0.000000,0.002186
0.020000,3.477399,9.618619,0.117532,1.233766,6.493506,0.000000,0.002759
0.020000,3.503373,9.618698,0.143506,1.363636,6.493506,-0.000000,0.003384
0.020000,3.531944,9.618805,0.172078,1.493506,6.493506,0.000000,0.004057
0.020000,3.563112,9.618942,0.203247,1.623377,6.493506,0.000000,0.004773
0.020000,3.596878,9.619116,0.237013,1.753247,6.493506,0.000000,0.005528
0.020000,3.633241,9.619332,0.273377,1.883117,6.493506,0.000000,0.006317
0.020000,3.672201,9.619594,0.312338,2.012987,6.493506,0.000000,0.007134
0.020000,3.713759,9.619908,0.353896,2.142857,6.493506,-0.000000,0.007974
0.020000,3.757913,9.620279,0.398052,2.272727,6.493506,0.000000,0.008831
0.020000,3.804664,9.620712,0.444805,2.402597,6.493506,0.000000,0.009698
0.020000,3.854012,9.621213,0.494156,2.532468,6.493506,-0.000000,0.010569
0.020000,3.905957,9.621784,0.546104,2.662338,6.493506,0.000000,0.011435
0.020000,3.960499,9.622432,0.600649,2.792208,6.493506,0.000000,0.012290
0.020000,4.017637,9.623158,0.657792,2.922078,6.493506,-0.000000,0.013126
0.020000,4.077372,9.623967,0.717532,3.051948,6.493506,0.000000,0.013934
0.020000,4.139703,9.624860,0.779870,3.181818,6.493506,-0.000000,0.014706
0.020000,4.204631,9.625839,0.844805,3.311688,6.493506,0.000000,0.015432
0.020000,4.272155,9.626904,0.912338,3.441558,6.493506,-0.000000,0.016104
0.020000,4.342275,9.628055,0.982468,3.571429,6.493506,0.000000,0.016711
0.020000,4.414992,9.629290,1.055195,3.701299,6.493506,-0.000000,0.017243
0.020000,4.490305,9.630607,1.130519,3.831169,6.493506,0.000000,0.017690
0.020000,4.568215,9.631999,1.208442,3.961039,6.493506,-0.000000,0.018041
0.020000,4.648721,9.633463,1.288961,4.090909,6.493506,0.000000,0.018285
0.020000,4.731824,9.634988,1.372078,4.220779,6.493506,0.000000,0.018409
0.020000,4.817524,9.636567,1.457792,4.350649,6.493506,-0.000000,0.018402
0.020000,4.905820,9.638186,1.546104,4.480519,6.493506,0.000000,0.018251
0.020000,4.996715,9.639833,1.637013,4.610390,6.493506,0.000000,0.017944
0.020000,5.090206,9.641489,1.730519,4.740260,6.493506,-0.000000,0.017467
0.020000,5.186296,9.643138,1.826623,4.870130,6.493506,0.000000,0.016807
0.020000,5.284984,9.644755,1.925325,5.000000,6.493506,0.000000,0.015948
0.020000,5.386271,9.646318,2.026623,5.129870,6.493506,0.000000,0.014878
0.020000,5.490156,9.647798,2.130519,5.259740,6.493506,0.000000,0.013580
0.020000,5.596641,9.649164,2.237013,5.389610,6.493506,-0.000000,0.012038
0.020000,5.705725,9.650381,2.346104,5.519481,6.493506,0.000000,0.010238
0.020000,5.817409,9.651411,2.457792,5.649351,6.493506,0.000000,0.008163
0.020000,5.931692,9.652211,2.572078,5.779221,6.493506,-0.000000,0.005794
0.020000,6.048574,9.652734,2.688961,5.909091,6.493506,0.000000,0.003115
0.020000,6.168054,9.652930,2.808442,6.038961,6.493506,0.000000,0.000108
0.020000,6.290132,9.652741,2.930519,6.168831,6.493506,0.000000,6.279939
0.020000,6.414805,9.652107,3.055195,6.298701,6.493506,0.000000,6.276218
0.020000,6.542073,9.650962,3.182468,6.428571,6.493506,-0.000000,6.272111
0.020000,6.671931,9.649235,3.312338,6.558442,6.493506,0.000000,6.267597
0.020000,6.804377,9.646846,3.444805,6.688312,6.493506,-0.000000,6.262656
0.020000,6.939406,9.643714,3.579870,6.818182,6.493506,0.000000,6.257265
0.020000,7.077011,9.639747,3.717532,6.948052,6.493506,0.000000,6.251403
0.020000,7.217185,9.634849,3.857792,7.077922,6.493506,0.000000,6.245048
0.020000,7.359918,9.628916,4.000649,7.207792,6.493506,0.000000,6.238176
0.020000,7.505200,9.621839,4.146104,7.337662,6.493506,-0.000000,6.230765
0.020000,7.653016,9.613497,4.294156,7.467532,6.493506,0.000000,6.222790
0.020000,7.803351,9.603766,4.444805,7.597403,6.493506,0.000000,6.214229
0.020000,7.956183,9.592512,4.598052,7.727273,6.493506,-0.000000,6.205056
0.020000,8.111490,9.579593,4.753896,7.857143,6.493506,0.000000,6.195250
0.020000,8.269245,9.564860,4.912338,7.987013,6.493506,0.000000,6.184786
0.020000,8.429414,9.548153,5.073377,8.116883,6.493506,-0.000000,6.173642
0.020000,8.591960,9.529308,5.237013,8.246753,6.493506,0.000000,6.161797
0.020000,8.756841,9.508150,5.403247,8.376623,6.493506,-0.000000,6.149229
0.020000,8.924006,9.484496,5.572078,8.506494,6.493506,0.000000,6.135921
0.020000,9.093398,9.458158,5.743506,8.636364,6.493506,0.000000,6.121855
0.020000,9.264951,9.428939,5.917532,8.766234,6.493506,-0.000000,6.107017
0.020000,9.438594,9.396635,6.094156,8.896104,6.493506,0.000000,6.091395
0.020000,9.614242,9.361039,6.273377,9.025974,6.493506,-0.000000,6.074983
0.020000,9.791803,9.321936,6.455195,9.155844,6.493506,0.000000,6.057776
0.020000,9.971175,9.279111,6.639610,9.285714,6.493506,0.000000,6.039776
0.020000,10.152243,9.232344,6.826623,9.415584,6.493506,-0.000000,6.020990
0.020000,10.334883,9.181416,7.016234,9.545455,6.493506,0.000000,6.001429
0.020000,10.518958,9.126110,7.208442,9.675325,6.493506,-0.000000,5.981114
0.020000,10.704322,9.066210,7.403247,9.805195,6.493506,0.000000,5.960070
0.020000,10.890815,9.001506,7.600649,9.935065,6.493506,0.000000,5.938330
0.020000,11.077663,8.932031,7.800000,10.000000,3.246753,-162.337662,5.916008
0.020000,11.263502,8.858126,8.000000,10.000000,0.000000,-162.337662,5.893303
0.020000,11.447606,8.779997,8.200000,10.000000,0.000000,0.000000,5.870351
0.020000,11.629860,8.697646,8.400000,10.000000,0.000000,0.000000,5.847216
0.020000,11.810154,8.611090,8.600000,10.000000,0.000000,0.000000,5.823964
0.020000,11.986145,8.521425,8.800000,10.000000,0.000000,0.000000,5.798268
0.020000,12.161736,8.425690,9.000000,10.000000,0.000000,0.000000,5.770675
0.020000,12.334893,8.325615,9.200000,10.000000,0.000000,0.000000,5.748521
0.020000,12.506076,8.222197,9.400000,10.000000,0.000000,0.000000,5.731852
0.020000,12.675804,8.116405,9.600000,10.000000,0.000000,0.000000,5.720677
0.020000,12.844635,8.009185,9.800000,10.000000,0.000000,0.000000,5.714987
0.020000,13.013148,7.901467,10.000000,10.000000,0.000000,0.000000,5.714774
0.020000,13.181933,7.794175,10.200000,10.000000,0.000000,0.000000,5.720037
0.020000,13.351571,7.688239,10.400000,10.000000,0.000000,0.000000,5.730785
0.020000,13.522622,7.584601,10.600000,10.000000,0.000000,0.000000,5.747027
0.020000,13.695608,7.484231,10.800000,10.000000,0.000000,0.000000,5.768756
0.020000,13.870995,7.388122,11.000000,10.000000,0.000000,0.000000,5.795929
0.020000,14.049170,7.297291,11.200000,10.000000,0.000000,0.000000,5.828433
0.020000,14.224655,7.210812,11.400000,10.000000,0.000000,0.000000,5.820871
0.020000,14.403361,7.121012,11.600000,10.000000,0.000000,0.000000,5.814835
0.020000,14.581692,7.030471,11.800000,10.000000,0.000000,0.000000,5.812560
0.020000,14.759988,6.939857,12.000000,10.000000,0.000000,0.000000,5.814031
0.020000,14.938585,6.849841,12.200000,10.000000,0.000000,0.000000,5.819257
0.020000,15.117818,6.761099,12.400000,10.000000,0.000000,0.000000,5.828276
0.020000,15.298011,6.674323,12.600000,10.000000,0.000000,0.000000,5.841149
0.020000,15.479470,6.590230,12.800000,10.000000,0.000000,0.000000,5.857958
0.020000,15.662478,6.509566,13.000000,10.000000,0.000000,0.000000,5.878792
0.020000,15.847282,6.433112,13.200000,10.000000,0.000000,0.000000,5.903739
0.020000,16.034084,6.361681,13.400000,10.000000,0.000000,0.000000,5.932870
0.020000,16.223023,6.296121,13.600000,10.000000,0.000000,0.000000,5.966218
0.020000,16.413858,6.237386,13.799680,9.968009,-1.599542,-79.977124,6.003686
0.020000,16.605607,6.186539,13.998071,9.871083,-4.846296,-162.337662,6.044920
0.020000,16.797143,6.144446,14.194194,9.741213,-6.493506,-82.360538,6.089378
0.020000,16.987845,6.111612,14.387720,9.611343,-6.493506,-0.000000,6.136495
0.020000,17.177328,6.088322,14.578648,9.481473,-6.493506,0.000000,6.185675
0.020000,17.365146,6.074706,14.766978,9.351603,-6.493506,0.000000,6.236244
0.020000,17.550816,6.070731,14.952712,9.221733,-6.493506,-0.000000,0.004300
0.020000,17.733850,6.076200,15.135848,9.091862,-6.493506,0.000000,0.055501
0.020000,17.913781,6.090766,15.316386,8.961992,-6.493506,-0.000000,0.105997
0.020000,18.090187,6.113949,15.494327,8.832122,-6.493506,0.000000,0.155203
0.020000,18.256075,6.143499,15.669671,8.702252,-6.493506,0.000000,0.191740
0.020000,18.425249,6.178431,15.842418,8.572382,-6.493506,-0.000000,0.215748
0.020000,18.590982,6.216921,16.012566,8.442512,-6.493506,0.000000,0.240899
0.020000,18.753156,6.259010,16.180118,8.312642,-6.493506,0.000000,0.267232
0.020000,18.911641,6.304732,16.345072,8.182772,-6.493506,-0.000000,0.294778
0.020000,19.066302,6.354108,16.507429,8.052901,-6.493506,0.000000,0.323561
0.020000,19.216993,6.407148,16.667188,7.923031,-6.493506,-0.000000,0.353593
0.020000,19.363565,6.463844,16.824350,7.793161,-6.493506,0.000000,0.384874
0.020000,19.505863,6.524171,16.978915,7.663291,-6.493506,0.000000,0.417388
0.020000,19.643729,6.588084,17.130882,7.533421,-6.493506,-0.000000,0.451100
0.020000,19.777005,6.655513,17.280251,7.403551,-6.493506,0.000000,0.485955
0.020000,19.905536,6.726362,17.427024,7.273681,-6.493506,0.000000,0.521873
0.020000,20.029175,6.800506,17.571199,7.143811,-6.493506,0.000000,0.558753
0.020000,20.147787,6.877791,17.712776,7.013940,-6.493506,0.000000,0.596469
0.020000,20.261250,6.958036,17.851756,6.884070,-6.493506,-0.000000,0.634871
0.020000,20.369465,7.041026,17.988139,6.754200,-6.493506,0.000000,0.673789
0.020000,20.472356,7.126523,18.121924,6.624330,-6.493506,-0.000000,0.713036
0.020000,20.569875,7.214262,18.253112,6.494460,-6.493506,0.000000,0.752413
0.020000,20.662005,7.303958,18.381703,6.364590,-6.493506,0.000000,0.791716
0.020000,20.748762,7.395311,18.507696,6.234720,-6.493506,0.000000,0.830740
0.020000,20.830197,7.488010,18.631091,6.104849,-6.493506,0.000000,0.869286
0.020000,20.906391,7.581738,18.751890,5.974979,-6.493506,-0.000000,0.907169
0.020000,20.977458,7.676180,18.870091,5.845109,-6.493506,0.000000,0.944221
0.020000,21.043539,7.771027,18.985694,5.715239,-6.493506,0.000000,0.980294
0.020000,21.104802,7.865979,19.098700,5.585369,-6.493506,-0.000000,1.015266
0.020000,21.161432,7.960752,19.209109,5.455499,-6.493506,0.000000,1.049035
0.020000,21.213634,8.055077,19.316920,5.325629,-6.493506,0.000000,1.081528
0.020000,21.261623,8.148704,19.422134,5.195759,-6.493506,0.000000,1.112692
0.020000,21.305623,8.241405,19.524751,5.065888,-6.493506,0.000000,1.142495
0.020000,21.345859,8.332970,19.624770,4.936018,-6.493506,-0.000000,1.170926
0.020000,21.382562,8.423210,19.722191,4.806148,-6.493506,0.000000,1.197988
0.020000,21.415956,8.511957,19.817016,4.676278,-6.493506,0.000000,1.223696
0.020000,21.446264,8.599059,19.909242,4.546408,-6.493506,-0.000000,1.248078
0.020000,21.473702,8.684383,19.998872,4.416538,-6.493506,0.000000,1.271169
0.020000,21.498476,8.767813,20.085904,4.286668,-6.493506,-0.000000,1.293009
0.020000,21.520788,8.849245,20.170339,4.156798,-6.493506,0.000000,1.313645
0.020000,21.540826,8.928590,20.252176,4.026927,-6.493506,0.000000,1.333123
0.020000,21.558770,9.005770,20.331416,3.897057,-6.493506,0.000000,1.351493
0.020000,21.574793,9.080718,20.408058,3.767187,-6.493506,0.000000,1.368805
0.020000,21.589053,9.153376,20.482103,3.637317,-6.493506,-0.000000,1.385107
0.020000,21.601703,9.223694,20.553551,3.507447,-6.493506,0.000000,1.400447
0.020000,21.612883,9.291630,20.622401,3.377577,-6.493506,-0.000000,1.414871
0.020000,21.622726,9.357147,20.688654,3.247707,-6.493506,0.000000,1.428424
0.020000,21.631356,9.420214,20.752309,3.117836,-6.493506,-0.000000,1.441148
0.020000,21.638887,9.480806,20.813367,2.987966,-6.493506,0.000000,1.453083
0.020000,21.645427,9.538899,20.871828,2.858096,-6.493506,0.000000,1.464267
0.020000,21.651075,9.594475,20.927691,2.728226,-6.493506,0.000000,1.474736
0.020000,21.655923,9.647520,20.980957,2.598356,-6.493506,0.000000,1.484522
0.020000,21.660058,9.698019,21.031625,2.468486,-6.493506,-0.000000,1.493657
0.020000,21.663558,9.745962,21.079696,2.338616,-6.493506,0.000000,1.502169
0.020000,21.666496,9.791341,21.125170,2.208746,-6.493506,0.000000,1.510085
0.020000,21.668940,9.834147,21.168046,2.078875,-6.493506,0.000000,1.517430
0.020000,21.670951,9.874376,21.208325,1.949005,-6.493506,-0.000000,1.524226
0.020000,21.672587,9.912022,21.246006,1.819135,-6.493506,0.000000,1.530494
0.020000,21.673900,9.947081,21.281090,1.689265,-6.493506,0.000000,1.536253
0.020000,21.674936,9.979552,21.313577,1.559395,-6.493506,-0.000000,1.541521
0.020000,21.675739,10.009429,21.343466,1.429525,-6.493506,0.000000,1.546312
0.020000,21.676348,10.036714,21.370758,1.299655,-6.493506,0.000000,1.550642
0.020000,21.676798,10.061405,21.395452,1.169785,-6.493506,0.000000,1.554524
0.020000,21.677119,10.083500,21.417549,1.039914,-6.493506,0.000000,1.557967
0.020000,21.677340,10.102998,21.437049,0.910044,-6.493506,-0.000000,1.560983
0.020000,21.677484,10.119899,21.453951,0.780174,-6.493506,0.000000,1.563580
0.020000,21.677572,10.134204,21.468256,0.650304,-6.493506,0.000000,1.565765
0.020000,21.677620,10.145911,21.479963,0.520434,-6.493506,-0.000000,1.567546
0.020000,21.677643,10.155021,21.489073,0.390564,-6.493506,0.000000,1.568926
0.020000,21.677652,10.161534,21.495586,0.260694,-6.493506,0.000000,1.569910
0.020000,21.677655,10.165449,21.499501,0.130823,-6.493506,0.000000,1.570500
0.020000,21.677655,10.167087,21.501139,0.032944,-4.893964,79.977124,1.570747
0.020000,21.677655,10.167416,21.501468,0.000000,-1.647211,162.337662,1.570796
0.020000,21.677655,10.167416,21.501468,0.000000,0.000000,82.360538,1.570796
