dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.368370,8.743466,0.000649,0.064935,3.246753,162.337662,6.282973
0.020000,3.368430,8.743466,0.000710,0.003013,-3.096092,-317.142241,6.283041
0.020000,3.368550,8.743466,0.000830,0.006010,0.149819,162.295539,6.283179
0.020000,3.376274,8.743467,0.008553,0.386167,19.007856,942.901841,0.000199
0.020000,3.386901,8.743471,0.019180,0.531365,7.259905,-587.397533,0.000470
0.020000,3.400183,8.743479,0.032462,0.664078,6.635637,-31.213411,0.000807
0.020000,3.416117,8.743495,0.048396,0.796709,6.631552,-0.204233,0.001207
0.020000,3.434702,8.743522,0.066981,0.929237,6.626409,-0.257160,0.001667
0.020000,3.455934,8.743563,0.088214,1.061648,6.620553,-0.292807,0.002186
0.020000,3.479813,8.743622,0.112092,1.193922,6.613704,-0.342434,0.002759
0.020000,3.506334,8.743703,0.138613,1.326046,6.606225,-0.373968,0.003384
0.020000,3.535493,8.743812,0.167773,1.458003,6.597806,-0.420965,0.004057
0.020000,3.567289,8.743952,0.199569,1.589772,6.588492,-0.465675,0.004773
0.020000,3.601715,8.744130,0.233996,1.721343,6.578504,-0.499398,0.005528
0.020000,3.638768,8.744349,0.271049,1.852694,6.567554,-0.547493,0.006317
0.020000,3.678444,8.744616,0.310726,1.983812,6.555930,-0.581228,0.007134
0.020000,3.720736,8.744936,0.353019,2.114677,6.543256,-0.633685,0.007974
0.020000,3.765640,8.745313,0.397925,2.245278,6.530043,-0.660684,0.008831
0.020000,3.813150,8.745754,0.445437,2.375595,6.515843,-0.709957,0.009698
0.020000,3.863259,8.746262,0.495549,2.505612,6.500867,-0.748836,0.010569
0.020000,3.915963,8.746842,0.548255,2.635315,6.485111,-0.787784,0.011435
0.020000,3.971252,8.747498,0.603549,2.764686,6.468564,-0.827344,0.012290
0.020000,4.029122,8.748234,0.661423,2.893708,6.451108,-0.872798,0.013126
0.020000,4.089564,8.749052,0.721870,3.022368,6.433018,-0.904485,0.013934
0.020000,4.152570,8.749954,0.784883,3.150649,6.414013,-0.950273,0.014706
0.020000,4.218133,8.750943,0.850454,3.278533,6.394239,-0.988688,0.015432
0.020000,4.286245,8.752017,0.918574,3.406006,6.373613,-1.031334,0.016104
0.020000,4.356897,8.753177,0.989235,3.533051,6.352248,-1.068205,0.016711
0.020000,4.430079,8.754420,1.062428,3.659651,6.330016,-1.111623,0.017243
0.020000,4.505783,8.755744,1.138144,3.785791,6.307024,-1.149599,0.017690
0.020000,4.584000,8.757142,1.216373,3.911454,6.283135,-1.194429,0.018041
0.020000,4.664719,8.758609,1.297106,4.036623,6.258460,-1.233785,0.018285
0.020000,4.747931,8.760137,1.380331,4.161282,6.232912,-1.277388,0.018409
0.020000,4.833624,8.761715,1.466040,4.285412,6.206517,-1.319741,0.018402
0.020000,4.921789,8.763332,1.554219,4.408997,6.179232,-1.364274,0.018251
0.020000,5.012415,8.764973,1.644860,4.532018,6.151046,-1.409292,0.017944
0.020000,5.105489,8.766623,1.737949,4.654457,6.121979,-1.453348,0.017467
0.020000,5.201001,8.768261,1.833475,4.776296,6.091925,-1.502669,0.016807
