dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.239181,18.114185,0.000649,0.064935,3.246753,162.337662,0.000240
0.020000,3.239252,18.114185,0.000719,0.003506,-3.071474,-315.911376,0.000160
0.020000,3.239393,18.114185,0.000860,0.007047,0.177060,162.426705,6.283185
0.020000,3.247394,18.114184,0.008862,0.400066,19.650955,973.694765,6.282946
0.020000,3.258061,18.114180,0.019529,0.533350,6.664207,-649.337383,6.282629
0.020000,3.271392,18.114169,0.032860,0.666573,6.661146,-0.153055,6.282236
0.020000,3.287387,18.114151,0.048855,0.799720,6.657344,-0.190103,6.281767
0.020000,3.306042,18.114119,0.067510,0.932775,6.652771,-0.228642,6.281226
0.020000,3.327357,18.114071,0.088825,1.065724,6.647428,-0.267156,6.280614
0.020000,3.351328,18.114001,0.112796,1.198550,6.641317,-0.305566,6.279935
0.020000,3.377952,18.113904,0.139420,1.331240,6.634469,-0.342393,6.279191
0.020000,3.407227,18.113776,0.168696,1.463775,6.626795,-0.383698,6.278386
0.020000,3.439150,18.113609,0.200619,1.596147,6.618571,-0.411188,6.277524
0.020000,3.473716,18.113397,0.235185,1.728334,6.609341,-0.461523,6.276610
0.020000,3.510921,18.113135,0.272392,1.860323,6.599474,-0.493349,6.275646
0.020000,3.550762,18.112814,0.312234,1.992103,6.588967,-0.525349,6.274640
0.020000,3.593233,18.112429,0.354707,2.123652,6.577473,-0.574713,6.273594
0.020000,3.638330,18.111972,0.399806,2.254961,6.565433,-0.602011,6.272516
0.020000,3.686048,18.111436,0.447526,2.386012,6.552571,-0.643054,6.271411
0.020000,3.736380,18.110815,0.497862,2.516792,6.539012,-0.677947,6.270285
0.020000,3.789321,18.110102,0.550808,2.647286,6.524692,-0.716042,6.269145
0.020000,3.844864,18.109290,0.606358,2.777479,6.509646,-0.752269,6.267997
0.020000,3.903004,18.108373,0.664505,2.907356,6.493829,-0.790861,6.266850
0.020000,3.963733,18.107346,0.725243,3.036903,6.477349,-0.824001,6.265709
0.020000,4.027045,18.106203,0.788565,3.166104,6.460070,-0.863953,6.264584
0.020000,4.092932,18.104941,0.854464,3.294948,6.442197,-0.893645,6.263483
0.020000,4.161386,18.103555,0.922932,3.423416,6.423423,-0.938713,6.262413
0.020000,4.232400,18.102043,0.993962,3.551497,6.404022,-0.970051,6.261384
0.020000,4.305965,18.100402,1.067546,3.679176,6.383945,-1.003815,6.260406
0.020000,4.382074,18.098632,1.143674,3.806436,6.363029,-1.045821,6.259487
0.020000,4.460716,18.096734,1.222340,3.933266,6.341480,-1.077459,6.258637
0.020000,4.541884,18.094709,1.303533,4.059648,6.319102,-1.118916,6.257868
0.020000,4.625568,18.092561,1.387244,4.185570,6.296105,-1.149853,6.257188
0.020000,4.711758,18.090294,1.473464,4.311016,6.272280,-1.191242,6.256610
0.020000,4.800446,18.087915,1.562184,4.435971,6.247745,-1.226743,6.256144
0.020000,4.891620,18.085432,1.653392,4.560419,6.222419,-1.266287,6.255802
0.020000,4.985272,18.082856,1.747079,4.684346,6.196369,-1.302521,6.255596
0.020000,5.081390,18.080200,1.843234,4.807737,6.169513,-1.342784,6.255538
0.020000,5.179964,18.077477,1.941845,4.930574,6.141874,-1.381949,6.255640
0.020000,5.280982,18.074707,2.042902,5.052843,6.113428,-1.422276,6.255917
0.020000,5.384435,18.071907,2.146393,5.174526,6.084152,-1.463846,6.256380
0.020000,5.490310,18.069102,2.252305,5.295607,6.054077,-1.503734,6.257045
0.020000,5.598596,18.066317,2.360626,5.416069,6.023083,-1.549710,6.257924
0.020000,5.709280,18.063579,2.471344,5.535894,5.991253,-1.591510,6.259033
0.020000,5.822350,18.060922,2.584445,5.655064,5.958521,-1.636597,6.260387
0.020000,5.937793,18.058381,2.699917,5.773562,5.924868,-1.682637,6.262000
0.020000,6.055596,18.055994,2.817744,5.891368,5.890334,-1.726678,6.263890
0.020000,6.175745,18.053804,2.937913,6.008464,5.854785,-1.777478,6.266071
0.020000,6.298227,18.051857,3.060410,6.124830,5.818279,-1.825266,6.268561
0.020000,6.423025,18.050205,3.185219,6.240447,5.780849,-1.871505,6.271377
0.020000,6.550124,18.048901,3.312325,6.355295,5.742401,-1.922408,6.274536
0.020000,6.679508,18.048007,3.441712,6.469356,5.703044,-1.967868,6.278056
0.020000,6.811159,18.047585,3.573364,6.582608,5.662644,-2.019986,6.281956
0.020000,6.945060,18.047704,3.707265,6.695035,5.621348,-2.064784,0.003070
0.020000,7.081190,18.048439,3.843397,6.806619,5.579196,-2.107610,0.007787
0.020000,7.219530,18.049869,3.981744,6.917342,5.536114,-2.154089,0.012941
0.020000,7.360056,18.052077,4.122288,7.027188,5.492330,-2.189215,0.018553
0.020000,7.502746,18.055155,4.265010,7.136145,5.447823,-2.225362,0.024643
0.020000,7.647574,18.059197,4.409895,7.244201,5.402837,-2.249292,0.031232
0.020000,7.794512,18.064306,4.556922,7.351351,5.357478,-2.267938,0.038340
0.020000,7.943531,18.070587,4.706073,7.457588,5.311855,-2.281147,0.045988
0.020000,8.094600,18.078155,4.857332,7.562916,5.266385,-2.273533,0.054197
0.020000,8.247684,18.087129,5.010678,7.667341,5.221262,-2.256129,0.062987
0.020000,8.402746,18.097634,5.166096,7.770879,5.176886,-2.218820,0.072380
0.020000,8.559747,18.109801,5.323567,7.873552,5.133655,-2.161534,0.082393
0.020000,8.718642,18.123768,5.483075,7.975393,5.092059,-2.079825,0.093048
0.020000,8.879385,18.139679,5.644604,8.076446,5.052638,-1.971010,0.104361
0.020000,9.041927,18.157682,5.808139,8.176769,5.016147,-1.824566,0.116349
0.020000,9.206212,18.177932,5.973668,8.276430,4.983073,-1.653712,0.129027
0.020000,9.372183,18.200589,6.141178,8.375520,4.954468,-1.430224,0.142409
0.020000,9.539777,18.225817,6.310661,8.474139,4.930973,-1.174774,0.156505
0.020000,9.708929,18.253787,6.482109,8.572415,4.913793,-0.859000,0.171323
0.020000,9.879566,18.284670,6.655519,8.670488,4.903639,-0.507678,0.186868
0.020000,10.051615,18.318644,6.830889,8.768524,4.901799,-0.092020,0.203140
0.020000,10.224994,18.355887,7.008223,8.866693,4.908484,0.334267,0.220136
0.020000,10.399619,18.396581,7.187528,8.965220,4.926352,0.893400,0.237848
0.020000,10.575403,18.440907,7.368814,9.064312,4.954592,1.411993,0.256264
0.020000,10.751680,18.488887,7.551504,9.134490,3.508916,-72.283819,0.275302
0.020000,10.927231,18.540323,7.734435,9.146557,0.603348,-145.278382,0.294806
0.020000,11.101433,18.595110,7.917050,9.130733,-0.791226,-69.728681,0.314671
0.020000,11.274242,18.653286,8.099388,9.116926,-0.690361,5.043225,0.334852
0.020000,11.439005,18.712684,8.274531,8.757162,-17.988200,-864.891934,0.358813
0.020000,11.605083,18.777389,8.452769,8.911867,7.735289,1286.174457,0.383679
0.020000,11.771928,18.846937,8.633529,9.038007,6.306996,-71.414664,0.405663
0.020000,11.939664,18.920930,8.816860,9.166574,6.428319,6.066154,0.424710
0.020000,12.108433,18.998948,9.002789,9.296444,6.493493,3.258676,0.440789
0.020000,12.278396,19.080548,9.191326,9.426827,6.519151,1.282911,0.453888
0.020000,12.449739,19.165270,9.382470,9.557228,6.520092,0.047037,0.464008
0.020000,12.622668,19.252642,9.576218,9.687398,6.508486,-0.580265,0.471153
0.020000,12.797412,19.342175,9.772564,9.817274,6.493789,-0.734846,0.475329
0.020000,12.974218,19.433366,9.971502,9.946926,6.482605,-0.559226,0.476542
0.020000,13.153353,19.525697,10.173032,10.076501,6.478757,-0.192386,0.474794
0.020000,13.335095,19.618629,10.377156,10.206168,6.483355,0.229906,0.470081
0.020000,13.519730,19.711601,10.583877,10.336065,6.494808,0.572609,0.462399
0.020000,13.707545,19.804025,10.793202,10.466240,6.508775,0.698399,0.451741
0.020000,13.898823,19.895283,11.005134,10.596603,6.518136,0.468006,0.438102
0.020000,14.093828,19.984722,11.219671,10.726862,6.512986,-0.257482,0.421485
0.020000,14.292795,20.071654,11.436801,10.856475,6.480615,-1.618526,0.401905
0.020000,14.495917,20.155355,11.656492,10.984594,6.405942,-3.733694,0.379395
0.020000,14.703328,20.235068,11.878693,11.110030,6.271839,-6.705106,0.354016
0.020000,14.909071,20.308039,12.096994,10.915038,-9.749623,-801.073135,0.329720
0.020000,15.108288,20.374915,12.307136,10.507087,-20.397531,-532.395412,0.318128
0.020000,15.307733,20.439373,12.516738,10.480117,-1.348499,952.451600,0.307153
0.020000,15.507333,20.501538,12.725795,10.452833,-1.364233,-0.786690,0.296801
0.020000,15.707019,20.561539,12.934301,10.425299,-1.376690,-0.622834,0.287079
0.020000,15.906522,20.619445,13.142037,10.386846,-1.922630,-27.297016,0.278000
0.020000,16.104929,20.675157,13.348118,10.304017,-4.141440,-110.940467,0.269600
0.020000,16.301097,20.728542,13.551421,10.165138,-6.943979,-140.126981,0.261912
0.020000,16.494542,20.779666,13.751506,10.004285,-8.042655,-54.933807,0.254932
0.020000,16.685225,20.828708,13.948395,9.844460,-7.991245,2.570538,0.248637
0.020000,16.873117,20.875840,14.142109,9.685671,-7.939451,2.589678,0.243003
0.020000,17.058193,20.921221,14.332667,9.527918,-7.887622,2.591453,0.238006
0.020000,17.240432,20.965002,14.520091,9.371198,-7.836040,2.579124,0.233623
0.020000,17.419817,21.007322,14.704401,9.215499,-7.784913,2.556320,0.229831
0.020000,17.596337,21.048314,14.885617,9.060811,-7.734417,2.524829,0.226605
0.020000,17.769980,21.088098,15.063760,8.907118,-7.684672,2.487204,0.223925
0.020000,17.947484,21.127067,15.245491,9.086580,8.973105,832.888867,0.205147
0.020000,18.136870,21.163989,15.438443,9.647564,28.049193,953.804409,0.179600
0.020000,18.326306,21.195732,15.630520,9.603875,-2.184423,-1511.680788,0.152081
0.020000,18.515879,21.221951,15.821897,9.568870,-1.750260,21.708111,0.122393
0.020000,18.705657,21.242253,16.012758,9.543028,-1.292091,22.908471,0.090325
0.020000,18.895686,21.256192,16.203298,9.526994,-0.801698,24.519670,0.055655
0.020000,19.085973,21.263264,16.393716,9.520903,-0.304574,24.856166,0.018153
0.020000,19.276466,21.262908,16.584210,9.524696,0.189678,24.712598,6.260779
0.020000,19.467032,21.254509,16.774961,9.537549,0.642622,22.647199,6.216954
0.020000,19.657427,21.237408,16.966122,9.558063,1.025705,19.154182,6.169690
0.020000,19.847255,21.210925,17.157788,9.583289,1.261305,11.780001,6.118877
0.020000,20.035940,21.174399,17.349976,9.609407,1.305895,2.229484,6.064496
0.020000,20.222690,21.127244,17.542588,9.630591,1.059193,-12.335107,6.006658
0.020000,20.406488,21.069018,17.735388,9.640029,0.471926,-29.363344,5.945633
0.020000,20.586102,20.999514,17.927981,9.629638,-0.519547,-49.573647,5.881873
0.020000,20.760138,20.918840,18.119806,9.591230,-1.920421,-70.043709,5.816020
0.020000,20.927132,20.827478,18.310158,9.517623,-3.680336,-87.995758,5.748881
0.020000,21.085679,20.726305,18.498235,9.403863,-5.688018,-100.384104,5.681373
0.020000,21.234560,20.616550,18.683200,9.248218,-7.782210,-104.709568,5.614455
0.020000,21.372865,20.499710,18.864252,9.052602,-9.780843,-99.931668,5.549043
0.020000,21.500053,20.377419,19.040694,8.822089,-11.525636,-87.239617,5.485935
0.020000,21.615969,20.251321,19.211975,8.564053,-12.901786,-68.807506,5.425760
0.020000,21.720804,20.122957,19.377709,8.286722,-13.866539,-48.237674,5.368960
0.020000,21.815025,19.993686,19.537674,7.998220,-14.425099,-27.927990,5.315789
0.020000,21.899291,19.864653,19.691784,7.705521,-14.634958,-10.492961,5.266344
0.020000,21.974372,19.736781,19.840069,7.414273,-14.562400,3.627903,5.220591
0.020000,22.041086,19.610784,19.982639,7.128458,-14.290743,13.582842,5.178405
0.020000,22.100247,19.487199,20.119654,6.850754,-13.885211,20.276599,5.139600
0.020000,22.152635,19.366419,20.251306,6.582629,-13.406259,23.947602,5.103957
0.020000,22.198977,19.248716,20.377804,6.324864,-12.888230,25.901470,5.071239
0.020000,22.239938,19.134277,20.499353,6.077460,-12.370238,25.899582,5.041209
0.020000,22.276118,19.023220,20.616154,5.840080,-11.868967,25.063580,5.013637
0.020000,22.308052,18.915613,20.728400,5.612262,-11.390932,23.901728,4.988305
0.020000,22.336218,18.811491,20.836264,5.393227,-10.951730,21.960096,4.965011
0.020000,22.361038,18.710861,20.939910,5.182291,-10.546776,20.247705,4.943572
0.020000,22.382888,18.613715,21.039482,4.978617,-10.183737,18.151975,4.923818
0.020000,22.402099,18.520032,21.135115,4.781626,-9.849546,16.709526,4.905600
0.020000,22.418965,18.429784,21.226926,4.590557,-9.553457,14.804447,4.888782
0.020000,22.433745,18.342936,21.315022,4.404803,-9.287676,13.289056,4.873240
0.020000,22.446672,18.259456,21.399497,4.223771,-9.051622,11.802715,4.858868
0.020000,22.457950,18.179304,21.480439,4.047078,-8.834652,10.848484,4.845567
0.020000,22.467763,18.102445,21.557922,3.874127,-8.647515,9.356869,4.833250
0.020000,22.476274,18.028844,21.632014,3.704605,-8.476124,8.569545,4.821840
0.020000,22.483629,17.958465,21.702776,3.538101,-8.325218,7.545307,4.811267
0.020000,22.489961,17.891276,21.770262,3.374313,-8.189383,6.791747,4.801469
