dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.239391,17.239185,0.000649,0.064935,3.246753,162.337662,0.000240
0.020000,3.239391,17.239185,0.003247,0.194805,6.493506,162.337662,0.000160
0.020000,3.239393,17.239185,0.008442,0.324675,6.493506,0.000000,6.283185
0.020000,3.247185,17.239184,0.016234,0.454545,6.493506,0.000000,6.282946
0.020000,3.257574,17.239180,0.026623,0.584416,6.493506,-0.000000,6.282629
0.020000,3.270561,17.239170,0.039610,0.714286,6.493506,0.000000,6.282236
0.020000,3.286146,17.239151,0.055195,0.844156,6.493506,0.000000,6.281767
0.020000,3.304328,17.239121,0.073377,0.974026,6.493506,0.000000,6.281226
0.020000,3.325107,17.239074,0.094156,1.103896,6.493506,0.000000,6.280614
0.020000,3.348483,17.239006,0.117532,1.233766,6.493506,0.000000,6.279935
0.020000,3.374457,17.238911,0.143506,1.363636,6.493506,-0.000000,6.279191
0.020000,3.403028,17.238786,0.172078,1.493506,6.493506,0.000000,6.278386
0.020000,3.434197,17.238623,0.203247,1.623377,6.493506,0.000000,6.277524
0.020000,3.467962,17.238416,0.237013,1.753247,6.493506,0.000000,6.276610
0.020000,3.504325,17.238159,0.273377,1.883117,6.493506,0.000000,6.275646
0.020000,3.543285,17.237846,0.312338,2.012987,6.493506,0.000000,6.274640
0.020000,3.584841,17.237469,0.353896,2.142857,6.493506,-0.000000,6.273594
0.020000,3.628995,17.237022,0.398052,2.272727,6.493506,0.000000,6.272516
0.020000,3.675745,17.236497,0.444805,2.402597,6.493506,0.000000,6.271411
0.020000,3.725092,17.235888,0.494156,2.532468,6.493506,-0.000000,6.270285
0.020000,3.777036,17.235188,0.546104,2.662338,6.493506,0.000000,6.269145
0.020000,3.831575,17.234391,0.600649,2.792208,6.493506,0.000000,6.267997
0.020000,3.888711,17.233490,0.657792,2.922078,6.493506,-0.000000,6.266850
0.020000,3.948443,17.232479,0.717532,3.051948,6.493506,0.000000,6.265709
0.020000,4.010770,17.231355,0.779870,3.181818,6.493506,-0.000000,6.264584
0.020000,4.075693,17.230111,0.844805,3.311688,6.493506,0.000000,6.263483
0.020000,4.143212,17.228744,0.912338,3.441558,6.493506,-0.000000,6.262413
0.020000,4.213326,17.227250,0.982468,3.571429,6.493506,0.000000,6.261384
0.020000,4.286035,17.225629,1.055195,3.701299,6.493506,-0.000000,6.260406
0.020000,4.361339,17.223878,1.130519,3.831169,6.493506,0.000000,6.259487
0.020000,4.439239,17.221998,1.208442,3.961039,6.493506,-0.000000,6.258637
0.020000,4.519733,17.219990,1.288961,4.090909,6.493506,0.000000,6.257868
0.020000,4.602823,17.217857,1.372078,4.220779,6.493506,0.000000,6.257188
0.020000,4.688507,17.215603,1.457792,4.350649,6.493506,-0.000000,6.256610
0.020000,4.776787,17.213235,1.546104,4.480519,6.493506,0.000000,6.256144
0.020000,4.867663,17.210760,1.637013,4.610390,6.493506,0.000000,6.255802
0.020000,4.961134,17.208189,1.730519,4.740260,6.493506,-0.000000,6.255596
0.020000,5.057201,17.205534,1.826623,4.870130,6.493506,0.000000,6.255538
0.020000,5.155865,17.202809,1.925325,5.000000,6.493506,0.000000,6.255640
0.020000,5.257125,17.200032,2.026623,5.129870,6.493506,0.000000,6.255917
0.020000,5.360983,17.197222,2.130519,5.259740,6.493506,0.000000,6.256380
0.020000,5.467440,17.194401,2.237013,5.389610,6.493506,-0.000000,6.257045
0.020000,5.576494,17.191596,2.346104,5.519481,6.493506,0.000000,6.257924
0.020000,5.688149,17.188835,2.457792,5.649351,6.493506,0.000000,6.259033
0.020000,5.802403,17.186150,2.572078,5.779221,6.493506,-0.000000,6.260387
0.020000,5.919258,17.183577,2.688961,5.909091,6.493506,0.000000,6.262000
0.020000,6.038714,17.181157,2.808442,6.038961,6.493506,0.000000,6.263890
0.020000,6.160771,17.178932,2.930519,6.168831,6.493506,0.000000,6.266071
0.020000,6.285431,17.176951,3.055195,6.298701,6.493506,0.000000,6.268561
0.020000,6.412692,17.175266,3.182468,6.428571,6.493506,-0.000000,6.271377
0.020000,6.542556,17.173934,3.312338,6.558442,6.493506,0.000000,6.274536
0.020000,6.675020,17.173018,3.444805,6.688312,6.493506,-0.000000,6.278056
0.020000,6.810084,17.172585,3.579870,6.818182,6.493506,0.000000,6.281956
0.020000,6.947746,17.172708,3.717532,6.948052,6.493506,0.000000,0.003070
0.020000,7.088004,17.173466,3.857792,7.077922,6.493506,0.000000,0.007787
0.020000,7.230853,17.174942,4.000649,7.207792,6.493506,0.000000,0.012941
0.020000,7.376290,17.177228,4.146104,7.337662,6.493506,-0.000000,0.018553
0.020000,7.524307,17.180421,4.294156,7.467532,6.493506,0.000000,0.024643
0.020000,7.674897,17.184624,4.444805,7.597403,6.493506,0.000000,0.031232
0.020000,7.828051,17.189949,4.598052,7.727273,6.493506,-0.000000,0.038340
0.020000,7.983757,17.196512,4.753896,7.857143,6.493506,0.000000,0.045988
0.020000,8.141999,17.204440,4.912338,7.987013,6.493506,0.000000,0.054197
0.020000,8.302762,17.213864,5.073377,8.116883,6.493506,-0.000000,0.062987
0.020000,8.466023,17.224925,5.237013,8.246753,6.493506,0.000000,0.072380
0.020000,8.631759,17.237769,5.403247,8.376623,6.493506,-0.000000,0.082393
0.020000,8.799941,17.252554,5.572078,8.506494,6.493506,0.000000,0.093048
