dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.239602,16.364185,0.000649,0.064935,3.246753,162.337662,0.000240
0.020000,3.239531,16.364185,0.000719,0.003506,-3.071474,-315.911376,0.000160
0.020000,3.239392,16.364185,0.000858,0.006945,0.171976,162.172532,6.283185
0.020000,3.246976,16.364184,0.008441,0.379154,18.610461,921.924251,6.282946
0.020000,3.257088,16.364180,0.018554,0.505611,6.322810,-614.382571,6.282629
0.020000,3.269730,16.364170,0.031196,0.632128,6.325857,0.152372,6.282236
0.020000,3.284905,16.364152,0.046371,0.758721,6.329687,0.191492,6.281767
0.020000,3.302613,16.364122,0.064079,0.885407,6.334270,0.229113,6.281226
0.020000,3.322857,16.364077,0.084323,1.012199,6.339603,0.266656,6.280614
0.020000,3.345639,16.364010,0.107105,1.139113,6.345686,0.304174,6.279935
0.020000,3.370962,16.363918,0.132428,1.266164,6.352547,0.343059,6.279191
0.020000,3.398829,16.363796,0.160296,1.393365,6.360098,0.377525,6.278386
0.020000,3.429243,16.363637,0.190710,1.520737,6.368597,0.424971,6.277524
0.020000,3.462209,16.363435,0.223676,1.648290,6.377607,0.450475,6.276610
0.020000,3.497728,16.363184,0.259197,1.776039,6.387475,0.493391,6.275646
0.020000,3.535807,16.362878,0.297277,1.904003,6.398193,0.535946,6.274640
0.020000,3.576449,16.362509,0.337921,2.032191,6.409427,0.561674,6.273594
0.020000,3.619660,16.362071,0.381133,2.160623,6.421592,0.608243,6.272516
0.020000,3.665443,16.361557,0.426920,2.289312,6.434420,0.641426,6.271411
0.020000,3.713805,16.360961,0.475285,2.418272,6.448025,0.680245,6.270285
0.020000,3.764751,16.360274,0.526235,2.547519,6.462340,0.715745,6.269145
0.020000,3.818286,16.359491,0.579777,2.677067,6.477396,0.752796,6.267997
0.020000,3.874418,16.358606,0.635915,2.806930,6.493143,0.787338,6.266850
0.020000,3.933152,16.357613,0.694658,2.937123,6.509681,0.826936,6.265709
0.020000,3.994495,16.356506,0.756011,3.067661,6.526877,0.859781,6.264584
0.020000,4.058455,16.355281,0.819982,3.198559,6.544926,0.902428,6.263483
0.020000,4.125038,16.353932,0.886579,3.329830,6.563527,0.930080,6.262413
0.020000,4.194252,16.352458,0.955809,3.461489,6.582948,0.971014,6.261384
0.020000,4.266105,16.350856,1.027680,3.593552,6.603141,1.009667,6.260406
0.020000,4.340605,16.349124,1.102200,3.726031,6.623949,1.040394,6.259487
0.020000,4.417762,16.347261,1.179379,3.858942,6.645578,1.081460,6.258637
0.020000,4.497583,16.345270,1.259225,3.992299,6.667843,1.113233,6.257868
